indice,var1,var2,w
293,226.0,321.0,21.52266633230592
294,227.0,321.0,21.621745441190463
295,228.0,321.0,21.56544256912737
296,229.0,321.0,21.48536843122193
297,229.0,320.0,21.635747278560864
298,230.0,320.0,21.507808021564227
299,230.0,319.0,21.54086861706616
300,231.0,319.0,21.518840184444134
301,232.0,319.0,21.58298819874747
302,232.0,318.0,21.518932134248548
303,233.0,318.0,21.59570823499751
304,234.0,318.0,21.44390025773969
305,234.0,317.0,21.42873801610284
306,235.0,317.0,21.632622260674925
307,236.0,317.0,21.507770072583337
308,237.0,317.0,21.49055397214002
309,238.0,317.0,21.37695854239813
310,238.0,316.0,21.375424026459747
311,239.0,316.0,21.50302987753109
312,240.0,316.0,21.51654319971396
313,241.0,316.0,21.318101113078686
314,242.0,316.0,21.72163216208896
315,243.0,316.0,21.379458793995507
316,244.0,316.0,21.432415418253512
317,245.0,316.0,21.470168748183088
318,246.0,316.0,21.382206358463108
319,247.0,316.0,21.607988611912315
320,248.0,316.0,21.435104945785945
321,249.0,316.0,21.413811135890143
322,250.0,316.0,21.55782320583868
323,250.0,315.0,21.560388722444348
324,251.0,315.0,21.56590748825171
325,252.0,315.0,21.33121881447492
326,253.0,315.0,21.468352332337503
327,253.0,314.0,21.408465140243024
328,254.0,314.0,21.434718104744537
329,254.0,313.0,21.46352321951497
330,255.0,313.0,21.431907321523656
331,256.0,313.0,21.38059759719888
332,257.0,313.0,21.30492251703803
333,258.0,313.0,21.468366718059787
334,259.0,313.0,21.365190350816945
335,260.0,313.0,21.5410912391054
336,261.0,313.0,21.392543689134865
337,261.0,312.0,21.34635862082109
338,262.0,312.0,21.36285635112029
339,262.0,311.0,21.33173886027495
340,263.0,311.0,21.465845410575696
341,263.0,310.0,21.34125361748677
342,264.0,310.0,21.234045948177872
343,265.0,310.0,21.390601618781893
344,265.0,309.0,21.39621627955948
345,266.0,309.0,21.42618193910561
346,267.0,309.0,21.35541267658581
347,268.0,309.0,21.42962411238077
348,269.0,309.0,21.429346179515026
349,270.0,309.0,21.36671002004188
350,271.0,309.0,21.49018231672755
351,271.0,308.0,21.489011990478048
352,271.0,307.0,21.350618599072444
353,272.0,307.0,21.38025449533825
354,273.0,307.0,21.2610807712694
355,274.0,307.0,21.21483293067082
356,275.0,307.0,21.41259329395227
357,275.0,306.0,21.22677793873205
358,275.0,305.0,21.388014346131506
359,276.0,305.0,21.32340138565303
360,277.0,305.0,21.33524414965813
361,278.0,305.0,21.305150428861182
362,279.0,305.0,21.44156286148596
363,280.0,305.0,21.449783966534863
364,281.0,305.0,21.281615128848745
365,281.0,304.0,21.3177713903476
366,281.0,303.0,21.333273648021443
367,282.0,303.0,21.33264268135238
368,283.0,303.0,21.33470430159132
369,284.0,303.0,21.430485464023224
370,284.0,302.0,21.338930152630475
371,284.0,301.0,21.11104934031523
372,285.0,301.0,21.217842776224035
373,285.0,300.0,21.195652231566243
374,285.0,299.0,21.172961884879875
375,286.0,299.0,21.23870907609411
376,286.0,298.0,21.235228475642884
377,287.0,298.0,21.29750073178853
378,288.0,298.0,21.24446621851128
379,289.0,298.0,21.31684514857739
380,290.0,298.0,21.27786810071933
381,290.0,297.0,21.214574721439053
382,291.0,297.0,21.230150451726768
383,291.0,296.0,21.31872894323193
384,292.0,296.0,21.08524589094529
385,293.0,296.0,21.23728575226844
386,294.0,296.0,21.23970027355573
387,295.0,296.0,21.233845347758283
388,295.0,295.0,21.072890154872795
389,296.0,295.0,21.3877916519443
390,296.0,294.0,21.28223788468603
391,297.0,294.0,21.13582284709937
392,298.0,294.0,21.20011061197497
393,299.0,294.0,21.137467493928693
394,300.0,294.0,21.20021542177673
395,301.0,294.0,21.23976464175129
396,302.0,294.0,21.228879742591857
397,303.0,294.0,21.16181593056584
398,303.0,293.0,21.31256568894512
399,304.0,293.0,21.30023325505079
400,305.0,293.0,21.17406731674603
401,306.0,293.0,21.19172097004405
402,307.0,293.0,21.216802042179847
403,308.0,293.0,21.171572639874785
404,309.0,293.0,21.095101939313103
405,310.0,293.0,21.31550519657775
406,310.0,292.0,21.086043494126034
407,311.0,292.0,21.187215347603622
408,312.0,292.0,21.28043335092189
409,313.0,292.0,21.13940509154072
410,314.0,292.0,21.16255648152029
411,315.0,292.0,21.325883881733567
412,316.0,292.0,21.140839855561826
413,317.0,292.0,21.17708898523864
414,318.0,292.0,21.19304989799005
415,318.0,291.0,21.17842498377672
416,319.0,291.0,21.229170491458007
417,320.0,291.0,21.18224146997208
418,321.0,291.0,21.10716993934315
419,322.0,291.0,21.07795597598163
420,323.0,291.0,21.02169977576833
421,324.0,291.0,21.06953053344616
422,325.0,291.0,21.096788769394536
423,326.0,291.0,21.242314072917114
424,327.0,291.0,21.174837631179543
425,328.0,291.0,21.24613911335428
426,329.0,291.0,21.04451614928284
427,329.0,290.0,21.10132250470649
428,330.0,290.0,21.197550020754925
429,330.0,289.0,21.1398977070711
430,330.0,288.0,21.19467538652008
431,330.0,287.0,21.03910413567264
432,331.0,287.0,21.12765885954604
433,331.0,286.0,20.93344406685947
434,332.0,286.0,21.15568925210393
435,332.0,285.0,21.018359031803783
436,332.0,284.0,21.036291410596352
437,333.0,284.0,21.372921201755368
438,333.0,283.0,21.22939768431708
439,333.0,282.0,21.074047247787195
440,333.0,281.0,20.914948986263003
441,334.0,281.0,21.120613171587443
442,335.0,281.0,21.17048007124336
443,336.0,281.0,21.044096226251742
444,336.0,282.0,21.15194395072302
445,337.0,282.0,21.05447315532525
446,338.0,282.0,21.16775240525177
447,339.0,282.0,21.21849212645994
448,340.0,282.0,21.101256494902245
449,341.0,282.0,21.04059172162952
450,342.0,282.0,21.12129610428504
451,342.0,281.0,21.062780204164007
452,343.0,281.0,21.27080217459633
453,344.0,281.0,21.07073063130814
454,345.0,281.0,21.03567945674388
455,345.0,280.0,21.08985276565155
456,346.0,280.0,21.090322102520062
457,346.0,279.0,21.11160629686687
458,346.0,278.0,21.00671014770288
459,347.0,278.0,21.1625735793218
460,347.0,277.0,20.92559731529486
461,348.0,277.0,21.20269718845205
462,349.0,277.0,21.133186747831463
463,349.0,276.0,21.087813254626017
464,350.0,276.0,21.031991376800413
465,351.0,276.0,21.062689176045176
466,351.0,275.0,21.047897681832165
467,352.0,275.0,20.918349692744407
468,352.0,274.0,21.095758370901304
469,352.0,273.0,20.98436232837751
470,353.0,273.0,20.9674677620804
471,354.0,273.0,20.82961670606419
472,355.0,273.0,20.932437429945924
473,355.0,272.0,21.175676310897124
474,355.0,271.0,20.972774950764112
475,356.0,271.0,20.95052110726784
476,357.0,271.0,20.93480218945696
477,357.0,270.0,21.011067201568128
478,358.0,270.0,20.977056319309607
479,359.0,270.0,21.06738696458283
480,359.0,269.0,20.895969635445464
481,360.0,269.0,21.00337618054201
482,361.0,269.0,21.069568115857184
483,362.0,269.0,21.08040772272691
484,362.0,268.0,21.165638318288227
485,363.0,268.0,20.925149927986023
486,364.0,268.0,21.102658881015618
487,365.0,268.0,20.91237931438576
488,365.0,267.0,21.00907555946748
489,366.0,267.0,20.98224676430479
490,367.0,267.0,21.07488036033669
491,367.0,266.0,21.175749621039813
492,368.0,266.0,20.934837466951336
493,369.0,266.0,21.01699490833388
